"","gameId","playId","x_defender","x_motion","x_receiver","y_defender","y_motion","y_receiver","nflId_defender","nflId_motion","nflId_receiver","teamAbbr_defender","teamAbbr_motion","teamAbbr_receiver"
"22",2022110606,98,102.59,105.98,101.03,12.93,5.35,11.78,47881,54613,54528,"NYJ","BUF","BUF"
"23",2022110606,378,83.13,96.71,78.19,19.02,38.22,16.65,47881,44985,47879,"NYJ","BUF","BUF"
"24",2022110606,423,86.05,77.65,86.42,22.34,21.91,30.3,47881,53079,47879,"NYJ","BUF","BUF"
"25",2022110606,968,53.97,66.69,53.52,24.96,45.49,26.68,53583,44985,42489,"NYJ","BUF","BUF"
"26",2022110606,1835,49.86,50.96,52.32,35.09,24.2,35.27,47881,44985,47857,"NYJ","BUF","BUF"
"27",2022110605,714,37.42,45.38,33.07,22.35,33.07,24.87,38843,48097,44912,"IND","NE","NE"
"28",2022110605,2495,68.1,67.67,73.4,15.23,20.34,19.11,45287,43324,48097,"IND","NE","NE"
"29",2022110605,2787,43.28,37.3,43.97,37.11,28.38,38.02,45287,45185,48097,"IND","NE","NE"
"30",2022110605,3434,61.67,56.35,66.77,22.86,32.45,22.67,38843,52488,44912,"IND","NE","NE"
"31",2022110604,442,64.59,67.89,59.44,45.96,17.94,36.81,53462,47932,41282,"JAX","LV","LV"
"32",2022110604,571,47.63,45.97,48.39,13.83,31.44,15.01,53462,47932,41282,"JAX","LV","LV"
"33",2022110604,1495,38.55,32.8,37.91,42.29,23.54,40.83,53462,47920,41282,"JAX","LV","LV"
"34",2022110604,2559,45.98,53.18,43.07,26.8,21.2,23.68,55105,44849,45785,"LV","JAX","JAX"
"35",2022110603,153,41.17,38.7,53.1,20.67,14.11,18.62,54487,53541,52443,"GB","DET","DET"
"36",2022110603,649,91.34,93.13,94.02,42.23,22.89,39.38,42485,43584,52443,"GB","DET","DET"
"37",2022110603,1706,108.49,110.74,112.08,18.72,6.71,33.88,54487,53959,53739,"GB","DET","DET"
"38",2022110603,2521,45.07,34.65,43.91,33.5,15.29,37.59,54487,54642,53541,"GB","DET","DET"
"39",2022110603,3439,90.63,93.04,94.49,40.92,25.58,37.86,42485,43584,52443,"GB","DET","DET"
"40",2022110602,560,60.83,39.72,53.92,8.35,8.73,2.51,43350,53746,53512,"CIN","CAR","CAR"
"41",2022110602,633,67.62,81.54,71.43,40.9,44.3,41.43,53437,43344,52441,"CAR","CIN","CIN"
"42",2022110602,2493,38.56,37.29,34.16,40.71,18.76,40.98,53437,52673,52441,"CAR","CIN","CIN"
"43",2022110601,845,23.82,27.81,24.43,29.75,28.46,40.15,53465,48207,52451,"MIA","CHI","CHI"
"44",2022110601,979,61.83,49.17,62.31,34.17,43.91,38.03,45345,46671,53435,"CHI","MIA","MIA"
"45",2022110600,387,81.61,90.5,77.62,13.35,11.22,19.28,47913,48723,53433,"LAC","ATL","ATL"
"46",2022110600,633,15.89,20.92,22.03,34.23,44.38,28.52,47913,48374,53612,"LAC","ATL","ATL"
"47",2022110600,2313,69.52,68.2,65.4,24.2,40.37,15.33,47913,48374,53433,"LAC","ATL","ATL"
"48",2022110300,558,41.39,42.9,37.71,10.02,48.62,10.61,54468,52608,47834,"HOU","PHI","PHI"
"49",2022110300,3162,52.95,64.8,50.64,30.79,20,32.86,48516,42372,55042,"PHI","HOU","HOU"
"50",2022110610,692,80.33,93.49,77.05,27.85,12.33,29.25,47971,47839,40011,"TEN","KC","KC"
"51",2022110610,2536,64.46,76.62,65.25,1.98,48,4.39,44869,47839,52440,"TEN","KC","KC"
"52",2022110605,3078,11.56,8.1,14.39,19.08,38.74,14.91,45287,45185,48097,"IND","NE","NE"
"53",2022110604,788,49.25,53.38,53.36,14.12,38.38,14.07,46456,47920,47932,"JAX","LV","LV"
"54",2022110300,580,30.8,32.4,33.64,45.27,31.55,42.27,42441,53439,53946,"HOU","PHI","PHI"
